gene,in_top25_RF_importance,in_top25_XGB_importance,in_top25_RF_SHAP,in_top25_XGB_SHAP,in_top25_MLP_permutation,agreement_count,rf_importance,xgb_importance,rf_shap_importance,xgb_shap_importance,mlp_perm_importance_mean
gene_7554,False,False,False,False,False,0,0.0022908781979613557,0.0,0.0009534674941803848,0.0,0.0
gene_4223,False,False,False,False,False,0,8.385015336145222e-05,0.0,6.0675050474212786e-05,0.0,0.0
gene_9927,False,False,False,False,False,0,0.0012108361296759775,0.0,0.0004561048906780711,0.0,0.0
gene_14503,False,False,False,False,False,0,0.00652857277627795,0.0,0.0028234479460642094,0.0,0.0
gene_1795,False,False,False,False,False,0,0.0022172242999127546,6.492167e-05,0.0010241687880506519,0.00047018006,0.0
gene_13950,False,False,False,False,False,0,0.006009422036946114,0.0,0.002011379679112138,0.0,0.0
gene_2928,False,False,False,False,False,0,0.001161535948506536,0.0023409722,0.00042650391368573076,0.0017019636,0.0
gene_19563,False,False,False,False,False,0,0.0036130418308909303,0.0,0.001158618050255091,0.0,0.0
gene_7965,False,False,False,False,False,0,0.008769108074460841,0.00038842327,0.0033433253244857354,0.0036506543,0.0
gene_17906,False,False,False,False,False,0,0.00011894291002284205,0.0008863413,0.00013305180319652922,0.0008855717,0.0
gene_8776,False,False,False,False,False,0,0.0022269058581683566,4.1442712e-05,0.0012606963077677889,0.00037887014,0.0
gene_18335,False,False,False,False,False,0,0.0006052310613172584,6.7590976e-05,0.00040808474220422355,9.590091e-05,0.0
gene_13076,False,False,False,False,False,0,0.0012402755394440917,0.0008958452,0.0005152876771225937,0.0021202234,0.0
gene_4640,False,False,False,False,False,0,2.7075361397672335e-05,0.0,0.00013942360564747034,0.0,0.0
gene_6594,False,False,False,False,False,0,0.011170674801930354,0.00012796959,0.004933818761169863,0.002613536,0.0
gene_13513,False,False,False,False,False,0,0.0011571966758847647,0.0,0.00046233734421050195,0.0,0.0
gene_8348,False,False,False,False,False,0,0.004058571467427551,0.0002486203,0.0015997153146841106,0.007607116,0.0
gene_16088,False,False,False,False,False,0,0.00013306821473417523,0.0,0.0001733441442688486,0.0,0.0
gene_7792,False,False,False,False,False,0,0.004447691395129485,0.0,0.0020163909106297386,0.0,0.0
gene_12881,False,False,False,False,False,0,0.004921612536876094,0.0,0.002132470533555218,0.0,0.0
gene_16064,False,False,False,False,False,0,0.004700421614926377,0.0,0.0019223184729275432,0.0,0.0
gene_16133,False,False,False,False,False,0,0.008575079628844535,4.3043397e-05,0.004139541500831105,0.00044422815,0.0
gene_13210,False,False,False,False,False,0,0.010874221963275987,0.0,0.004868098999541446,0.0,0.0
gene_18051,False,False,False,False,False,0,0.0023495037689219944,0.00055720995,0.0008965958631546831,0.00051797583,0.0
gene_16061,False,False,False,False,False,0,0.0025119780409369775,0.0,0.0011842441246898417,0.0,0.0
gene_3461,False,False,False,False,False,0,0.004711531487413268,0.00020838635,0.0024029519736562615,9.3226416e-05,0.0
gene_16105,False,False,False,False,False,0,6.634690690360892e-05,0.0,0.00017047436199162287,0.0,0.0
gene_3619,False,False,False,False,False,0,6.106840530086986e-05,0.00019953701,0.00012106480367104974,0.0015209641,-0.000528925619834697
gene_11059,False,False,False,False,False,0,0.006730364933266255,0.0,0.002973037916880744,0.0,0.0
gene_5988,False,False,False,False,False,0,0.000579430435970309,2.0591307e-05,0.00036050989179138885,0.00057923,0.0
gene_18042,False,False,False,False,False,0,0.0013905856714934795,0.0,0.000779824666291264,0.0,0.0
gene_13998,False,False,False,False,False,0,0.0013420469602955162,0.0,0.0005188409443028559,0.0,0.0
gene_15894,False,False,False,False,False,0,0.010857760581088402,0.0012048509,0.004434858702498212,0.013179695,0.0
gene_11550,False,False,False,False,False,0,0.007464196584116251,0.0,0.0037433519912288063,0.0,0.0
gene_12995,False,False,False,False,False,0,0.010456231016373593,0.0,0.004193222835495703,0.0,0.0
gene_11393,False,False,False,False,False,0,0.005872758370422293,0.0002723347,0.0032355589046305267,0.0012938055,0.0
gene_9184,False,False,False,False,False,0,0.004775091360238207,0.0007098116,0.0020519971886018592,0.00030962244,0.0
gene_6836,False,False,False,False,False,0,0.0048156472142898785,0.00039077943,0.001983362592991041,0.0028657676,0.0
gene_14444,False,False,False,False,False,0,0.0012766882541255034,1.8258981e-05,0.00045684067357276,0.00080279884,0.0
gene_12808,False,False,False,False,False,0,0.003822387843561215,6.337346e-05,0.0014688056736357209,0.0012848786,0.0
